UMAP1,UMAP2,temp
16.432438,10.395476,287.0
17.227573,9.723524,287.5
15.789852,9.006449,288.0
17.692097,10.200948,288.5
16.561481,10.125022,289.0
17.683605,10.39107,289.5
16.963863,9.104811,290.0
15.583726,9.70469,290.5
17.5846,10.298032,291.0
16.327196,9.707787,291.5
15.735409,9.809023,292.0
17.482117,9.640838,292.5
16.00028,10.754201,293.0
16.357517,8.575927,293.5
16.875143,8.775955,294.0
17.040012,8.65935,294.5
16.484575,8.406017,295.0
16.891293,9.758582,295.5
16.936996,8.6505375,296.0
17.188034,9.007146,296.5
17.071835,8.882549,297.0
17.11926,9.117462,297.5
16.963903,8.625792,298.0
17.21093,8.795868,298.5
17.076143,8.8889,299.0
16.921507,8.743001,299.5
16.64682,9.578473,300.0
16.757694,8.666312,300.5
16.611475,10.119731,301.0
16.101591,9.680678,301.5
16.582645,9.66489,302.0
16.709225,10.183898,302.5
17.56269,10.892389,303.0
15.332635,8.46922,303.5
16.011522,9.191754,304.0
17.655249,9.896837,304.5
17.476423,10.22671,305.0
15.909935,10.52663,305.5
15.754009,10.216682,306.0
16.017176,9.640039,306.5
16.547138,9.407524,307.0
16.042223,9.149197,307.5
17.484571,9.5922365,308.0
16.948593,9.798719,308.5
14.891048,7.212166,309.0
16.388594,9.287241,309.5
14.856908,9.450409,310.0
14.482974,9.003465,310.5
14.471005,9.461607,311.0
14.628838,9.427568,311.5
14.454485,9.374652,312.0
14.639611,9.700061,312.5
14.583903,9.539082,313.0
14.489968,9.599754,313.5
14.688978,9.2826395,314.0
14.683437,9.690195,314.5
14.62128,9.650353,315.0
14.954726,9.815664,315.5
15.399096,9.752297,316.0
15.192101,9.585587,316.5
14.823188,9.572943,317.0
14.851694,9.760156,317.5
14.544095,9.179938,318.0
15.138183,9.437773,318.5
14.467378,9.596254,319.0
14.347575,9.33172,319.5
14.289928,8.922256,320.0
14.790262,9.164201,320.5
14.419022,8.832142,321.0
14.381156,8.91031,321.5
14.516744,9.280676,322.0
14.423462,9.166783,322.5
14.632824,9.160124,323.0
15.096142,9.721921,323.5
14.4152775,9.1119,324.0
17.416784,9.656026,324.5
