UMAP1,UMAP2,Cluster_6,temp,Grid_X,Grid_Y,State_6,Cluster_Change
0.3673634,6.3649426,4,284.0,0,0,glassy,False
0.12404108,6.08311,4,284.5,0,0,glassy,False
0.41604602,6.8515024,4,285.0,0,0,glassy,False
0.2515759,6.399551,4,285.5,0,0,glassy,False
0.4537576,6.182768,4,286.0,0,0,glassy,False
0.26990175,6.7461405,4,286.5,0,0,glassy,False
0.26293847,6.6717076,4,287.0,0,0,glassy,False
0.4328971,6.6642003,4,287.5,0,0,glassy,False
0.761847,6.387985,4,288.0,0,0,glassy,False
0.67111903,5.6972237,4,288.5,0,0,glassy,False
0.83306044,5.578493,4,289.0,0,0,glassy,False
0.70081735,5.063386,4,289.5,0,0,glassy,False
0.20360105,5.1560893,4,290.0,0,0,glassy,False
0.5033914,5.0009356,4,290.5,0,0,glassy,False
0.49842787,5.1786036,4,291.0,0,0,glassy,False
-0.06408914,5.787741,4,291.5,-1,0,glassy,False
-0.17981161,5.894044,4,292.0,-1,0,glassy,False
-0.11408281,6.1145954,4,292.5,-1,0,glassy,False
-0.04940204,6.0275464,4,293.0,-1,0,glassy,False
0.35173103,6.9348526,4,293.5,0,0,glassy,False
0.41296867,6.8948584,4,294.0,0,0,glassy,False
0.8345727,5.9372487,4,294.5,0,0,glassy,False
2.5801535,5.927069,2,295.0,0,0,rubbery,True
0.882801,6.0262895,4,295.5,0,0,glassy,True
0.2131853,6.812695,4,296.0,0,0,glassy,False
3.284602,5.7631836,2,296.5,0,0,rubbery,True
3.0944886,5.9420285,2,297.0,0,0,rubbery,False
3.1939576,5.8559027,2,297.5,0,0,rubbery,False
3.044716,5.876271,2,298.0,0,0,rubbery,False
3.3906803,5.8754907,2,298.5,0,0,rubbery,False
3.4738226,5.741057,2,299.0,0,0,rubbery,False
3.032204,5.833375,2,299.5,0,0,rubbery,False
3.505875,5.9278755,2,300.0,0,0,rubbery,False
3.1810226,5.852141,2,300.5,0,0,rubbery,False
3.5108259,5.827332,2,301.0,0,0,rubbery,False
3.2032661,5.8383484,2,301.5,0,0,rubbery,False
3.505531,5.805682,2,302.0,0,0,rubbery,False
2.932006,5.7869344,2,302.5,0,0,rubbery,False
3.4298782,5.821849,2,303.0,0,0,rubbery,False
3.557316,5.8697963,2,303.5,0,0,rubbery,False
3.5970426,5.8640556,2,304.0,0,0,rubbery,False
3.29874,5.806706,2,304.5,0,0,rubbery,False
3.7637916,5.8262253,2,305.0,0,0,rubbery,False
3.7138093,5.861287,2,305.5,0,0,rubbery,False
3.7667258,5.802266,2,306.0,0,0,rubbery,False
3.662848,5.8705387,2,306.5,0,0,rubbery,False
3.6104743,5.892894,2,307.0,0,0,rubbery,False
3.659436,5.914775,2,307.5,0,0,rubbery,False
3.6612318,5.946337,2,308.0,0,0,rubbery,False
3.4753883,5.8409257,2,308.5,0,0,rubbery,False
3.6080542,5.975152,2,309.0,0,0,rubbery,False
3.657758,5.919607,2,309.5,0,0,rubbery,False
3.645548,6.0106444,2,310.0,0,0,rubbery,False
0.9408457,6.5942726,4,310.5,0,0,glassy,True
4.063353,5.6516747,2,311.0,0,0,rubbery,True
5.8469,5.170511,2,311.5,0,0,rubbery,False
3.9967,5.677442,2,312.0,0,0,rubbery,False
3.9859824,5.565317,2,312.5,0,0,rubbery,False
6.486128,5.0917773,2,313.0,0,0,rubbery,False
6.279887,5.0521364,2,313.5,0,0,rubbery,False
6.289428,5.066546,2,314.0,0,0,rubbery,False
6.2933803,4.949437,2,314.5,0,0,rubbery,False
6.1681585,5.0164313,2,315.0,0,0,rubbery,False
6.170176,5.077793,2,315.5,0,0,rubbery,False
