chain,n_clusters,silhouette_score
13,10,0.600042998790741
14,2,0.7814754843711853
14,3,0.6889193654060364
14,4,0.7571486234664917
14,5,0.8009324669837952
14,6,0.83099365234375
14,7,0.6613497138023376
14,8,0.6678467988967896
14,9,0.655778169631958
14,10,0.6368653178215027
15,2,0.7986927628517151
15,3,0.7921578288078308
15,4,0.8333160877227783
15,5,0.7552345991134644
15,6,0.7643454074859619
15,7,0.7653241753578186
15,8,0.7528852820396423
15,9,0.7642225027084351
15,10,0.7678678035736084
16,2,0.6581568121910095
16,3,0.7684904932975769
16,4,0.8503029942512512
16,5,0.8459182977676392
16,6,0.8499169945716858
16,7,0.6480669975280762
16,8,0.6488237380981445
16,9,0.5915733575820923
16,10,0.6013939380645752
17,2,0.782101035118103
17,3,0.787336528301239
17,4,0.8378093838691711
17,5,0.8740476369857788
17,6,0.8817177414894104
17,7,0.7199949026107788
17,8,0.7031777501106262
17,9,0.6783263683319092
17,10,0.685157299041748
18,2,0.722093403339386
18,3,0.9016007781028748
18,4,0.8491408228874207
18,5,0.8227266073226929
18,6,0.5998619198799133
18,7,0.5848990678787231
18,8,0.5889564156532288
18,9,0.6133636236190796
18,10,0.5986514091491699
19,2,0.8490849137306213
19,3,0.6858379244804382
19,4,0.7927855253219604
19,5,0.756622850894928
19,6,0.6515840888023376
19,7,0.6256600022315979
19,8,0.6345650553703308
19,9,0.6413034796714783
19,10,0.6210070848464966
20,2,0.6585526466369629
20,3,0.7080661654472351
20,4,0.8201606273651123
20,5,0.6635740399360657
20,6,0.6623163223266602
20,7,0.6583606600761414
20,8,0.6717103123664856
20,9,0.6583618521690369
20,10,0.6763659119606018
21,2,0.6982779502868652
21,3,0.7485029697418213
21,4,0.8176352977752686
21,5,0.7058493494987488
21,6,0.7043588757514954
21,7,0.6742706894874573
21,8,0.6680169701576233
21,9,0.666995108127594
21,10,0.6993891000747681
22,2,0.6089057922363281
22,3,0.8580113053321838
22,4,0.859078049659729
22,5,0.8715853095054626
22,6,0.8785244822502136
22,7,0.832402765750885
22,8,0.6460627913475037
22,9,0.60750412940979
22,10,0.5983864665031433
23,2,0.8521050214767456
23,3,0.6833989024162292
23,4,0.7426835894584656
23,5,0.810185432434082
23,6,0.8680946230888367
23,7,0.8656039237976074
23,8,0.8530125021934509
23,9,0.8687499165534973
23,10,0.8393700122833252
24,2,0.7622339725494385
24,3,0.7505258917808533
24,4,0.8402941226959229
24,5,0.8508638143539429
24,6,0.8476549983024597
24,7,0.8587881326675415
24,8,0.8408246040344238
24,9,0.8445129990577698
24,10,0.593555212020874
