chain,n_clusters,silhouette_score
17,8,0.8245144486427307
17,9,0.8617804646492004
17,10,0.8568012714385986
18,2,0.7575786113739014
18,3,0.5609995126724243
18,4,0.49204593896865845
18,5,0.4116188883781433
18,6,0.43160080909729004
18,7,0.43573495745658875
18,8,0.4575721323490143
18,9,0.43442630767822266
18,10,0.4495601952075958
19,2,0.8094779253005981
19,3,0.7260125875473022
19,4,0.732056200504303
19,5,0.7936933636665344
19,6,0.8218337297439575
19,7,0.8460031747817993
19,8,0.5452450513839722
19,9,0.5752847194671631
19,10,0.5772305130958557
20,2,0.6919071674346924
20,3,0.7131966352462769
20,4,0.6805979609489441
20,5,0.7253628373146057
20,6,0.7999304533004761
20,7,0.8119256496429443
20,8,0.7845815420150757
20,9,0.7342712879180908
20,10,0.7000791430473328
21,2,0.8690914511680603
21,3,0.8062198758125305
21,4,0.6711888909339905
21,5,0.7275978922843933
21,6,0.7523832321166992
21,7,0.7697165608406067
21,8,0.746163010597229
21,9,0.6817683577537537
21,10,0.6686756014823914
22,2,0.7748578786849976
22,3,0.6519113183021545
22,4,0.5941056609153748
22,5,0.6303902864456177
22,6,0.6667529940605164
22,7,0.6669119596481323
22,8,0.6406398415565491
22,9,0.5897893309593201
22,10,0.6083793044090271
23,2,0.7349921464920044
23,3,0.777940571308136
23,4,0.7528005838394165
23,5,0.7296611666679382
23,6,0.7781485915184021
23,7,0.823192298412323
23,8,0.7500320076942444
23,9,0.7637096643447876
23,10,0.7624531984329224
24,2,0.6666451692581177
24,3,0.788976788520813
24,4,0.8149272203445435
24,5,0.7626969218254089
24,6,0.6581714749336243
24,7,0.671534538269043
24,8,0.678181529045105
24,9,0.5936877727508545
24,10,0.6153408288955688
