chain,n_clusters,silhouette_score
9,4,0.7496078014373779
9,5,0.7777369022369385
9,6,0.732637882232666
9,7,0.70918208360672
9,8,0.7251022458076477
9,9,0.7566140294075012
9,10,0.5829712748527527
10,2,0.7595508098602295
10,3,0.7073841691017151
10,4,0.7186893820762634
10,5,0.6024813055992126
10,6,0.5984223484992981
10,7,0.5675801634788513
10,8,0.5843989253044128
10,9,0.6195968389511108
10,10,0.6202356219291687
11,2,0.7510179877281189
11,3,0.88675457239151
11,4,0.9165398478507996
11,5,0.8653405904769897
11,6,0.8903455138206482
11,7,0.6594502925872803
11,8,0.6460831761360168
11,9,0.6301466822624207
11,10,0.6262009143829346
12,2,0.6322221159934998
12,3,0.7198567390441895
12,4,0.74575275182724
12,5,0.7934659719467163
12,6,0.803941547870636
12,7,0.7948508262634277
12,8,0.7890600562095642
12,9,0.792088508605957
12,10,0.7551212906837463
13,2,0.7729760408401489
13,3,0.7298161387443542
13,4,0.8284912705421448
13,5,0.8248635530471802
13,6,0.8077729940414429
13,7,0.8062652945518494
13,8,0.663274884223938
13,9,0.676166832447052
13,10,0.5616868138313293
14,2,0.7165662050247192
14,3,0.8300735950469971
14,4,0.803195059299469
14,5,0.8338845372200012
14,6,0.711661159992218
14,7,0.7113121151924133
14,8,0.7249882817268372
14,9,0.7129016518592834
14,10,0.5986929535865784
15,2,0.8935232162475586
15,3,0.8454351425170898
15,4,0.8857361078262329
15,5,0.9006891846656799
15,6,0.6472970247268677
15,7,0.6823280453681946
15,8,0.6847146153450012
15,9,0.6771112084388733
15,10,0.5993743538856506
16,2,0.827402651309967
16,3,0.7944167256355286
16,4,0.7623556852340698
16,5,0.7683506608009338
16,6,0.7141934633255005
16,7,0.6601181626319885
16,8,0.6279715299606323
16,9,0.6229075193405151
16,10,0.5252168774604797
17,2,0.7685979604721069
17,3,0.7729805707931519
17,4,0.7369643449783325
17,5,0.7331107258796692
17,6,0.5211882591247559
17,7,0.5269217491149902
17,8,0.5379721522331238
17,9,0.5621675848960876
17,10,0.5808202028274536
18,2,0.8520824909210205
18,3,0.8116729259490967
18,4,0.6382426619529724
18,5,0.615361213684082
18,6,0.6399304866790771
18,7,0.6688594222068787
18,8,0.6509291529655457
18,9,0.6751877069473267
18,10,0.6634824872016907
19,2,0.7686255574226379
19,3,0.8219520449638367
19,4,0.8671427965164185
19,5,0.6140342950820923
19,6,0.6138490438461304
19,7,0.6218065619468689
19,8,0.6229139566421509
19,9,0.651003897190094
19,10,0.6272872090339661
20,2,0.7569154500961304
20,3,0.9070777893066406
20,4,0.8552797436714172
20,5,0.8814599514007568
20,6,0.5718579888343811
20,7,0.5806576609611511
20,8,0.5449439287185669
20,9,0.5183268189430237
20,10,0.5366905927658081
21,2,0.7662467956542969
21,3,0.744949221611023
21,4,0.5948631763458252
21,5,0.6110093593597412
21,6,0.6262643337249756
21,7,0.584905207157135
21,8,0.5980271697044373
21,9,0.611665666103363
21,10,0.55413818359375
22,2,0.8288946151733398
22,3,0.7167733907699585
22,4,0.712985098361969
22,5,0.6981924176216125
22,6,0.7221578359603882
22,7,0.7299615740776062
22,8,0.7493546009063721
22,9,0.768564760684967
22,10,0.5377508997917175
23,2,0.9067045450210571
23,3,0.8596546649932861
23,4,0.8837753534317017
23,5,0.5945056676864624
23,6,0.5869920253753662
23,7,0.5799194574356079
23,8,0.5595065355300903
23,9,0.5554805994033813
23,10,0.569316565990448
24,2,0.7662240862846375
24,3,0.9147429466247559
24,4,0.8788381218910217
24,5,0.8135336637496948
24,6,0.5259936451911926
24,7,0.5351299047470093
24,8,0.5353914499282837
24,9,0.5387150645256042
24,10,0.564067006111145
