UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,UMAP11,UMAP12,UMAP13,UMAP14,UMAP15,temp
7.690698,12.861045,1.7736375,5.4989204,3.0417442,3.3046024,1.5065393,-0.36876956,6.24564,-1.1319698,5.4733176,4.20205,4.411116,0.83761144,8.298445,222.5
7.6606827,12.798643,1.83903,5.49424,3.2640536,3.3447845,1.5688512,-0.19397317,6.3299212,-1.2625014,5.5270805,4.3415194,4.207626,0.85791206,8.241834,223.0
7.61361,13.1033,1.6020569,5.7104263,3.118944,3.491959,1.5622516,-0.15091519,6.312989,-1.36412,5.4837165,4.1110187,4.3398595,0.85840446,8.323208,223.5
7.623681,13.019996,1.8494195,5.6057143,3.0520802,3.3142846,1.5119522,-0.14505959,6.19137,-1.148684,5.489955,4.1702,4.4471874,0.80638474,8.2123,224.0
7.7735,12.846428,1.1810575,5.5207424,3.0885863,3.7727964,1.3972309,-0.45281857,6.788259,-1.5420465,5.3342133,4.3712544,3.7381527,0.87080944,8.309662,224.5
7.7503276,13.264119,1.2903773,5.7836776,2.8658123,3.766586,1.4327306,-0.104070425,6.6703587,-1.5356677,5.3368006,4.1440444,4.06009,0.89169365,8.289876,225.0
7.849782,12.887414,1.594897,5.462057,2.9496405,3.4685283,1.5233251,-0.21585196,6.5550165,-1.2499332,5.3745914,4.3081403,4.110894,0.92343616,8.326587,225.5
7.81255,12.874189,1.6702938,5.416748,2.875154,3.3642087,1.4734817,-0.26831946,6.444847,-1.1083794,5.445651,4.1965127,4.334987,1.0168959,8.430379,226.0
7.838489,12.718873,1.8108467,5.5179167,3.2377114,3.4498334,1.4887507,-0.25634027,6.469749,-1.3651425,5.3745465,4.310465,4.1263247,0.8947488,8.338047,226.5
7.696561,12.983436,1.7471195,5.631492,3.1879253,3.4656103,1.4733483,-0.060274366,6.3339925,-1.3049126,5.4701834,4.199494,4.3449383,0.90964377,8.303782,227.0
7.805231,12.929527,1.7866967,5.528683,3.0263522,3.408553,1.4166725,-0.092760816,6.4554567,-1.235869,5.4385223,4.3573337,4.1233788,0.93655133,8.216472,227.5
7.6592383,13.193143,1.6353887,5.6839848,2.9721966,3.4581697,1.4263854,0.0022836889,6.2906914,-1.2027495,5.512995,4.1528916,4.4105124,0.95227325,8.266055,228.0
7.7381845,12.97859,1.8393829,5.468873,2.8880017,3.2960324,1.4104728,-0.045087334,6.327541,-1.0203596,5.503948,4.27709,4.357317,0.97427064,8.236817,228.5
7.625924,12.83852,1.8204783,5.469868,3.2054918,3.4085393,1.5160207,-0.17838262,6.384102,-1.2657024,5.4586043,4.438187,4.0843787,0.74431634,8.093436,229.0
7.6722436,12.841306,1.8814945,5.495596,3.1814613,3.3089414,1.413219,-0.26397383,6.2142825,-1.137032,5.488553,4.3564115,4.300116,0.82092303,8.188152,229.5
7.7161207,12.78932,1.8841499,5.488667,3.2508092,3.340988,1.4805273,-0.22197379,6.2470536,-1.1838926,5.4395967,4.3753448,4.2734866,0.79870266,8.199085,230.0
7.660558,13.005075,1.8548099,5.506572,2.9392545,3.2892227,1.4619331,-0.034635253,6.316059,-1.0637362,5.525347,4.312325,4.2540455,0.8966242,8.132353,230.5
7.6680727,12.993314,1.7495097,5.5187707,3.0005643,3.4813936,1.4685078,-0.025202585,6.4867196,-1.2923192,5.501078,4.278854,4.2487674,0.9763372,8.310415,231.0
7.641885,12.917915,1.8086871,5.434873,3.114399,3.3182704,1.4645838,-0.0053933784,6.3278236,-1.0978862,5.6092143,4.4101357,4.22335,0.9946557,8.21342,231.5
7.650656,12.773165,1.9288859,5.512076,3.2678692,3.2835941,1.60953,-0.2811759,6.2541275,-1.2417877,5.488204,4.3116913,4.245574,0.7527291,8.187664,232.0
7.705718,12.87387,1.3948227,5.5852637,3.2182481,3.6433675,1.5279064,-0.3246946,6.591987,-1.492179,5.4089193,4.2890863,3.9942956,0.8480845,8.335145,232.5
7.8008175,12.858573,1.9252424,5.4754066,3.0617397,3.3399727,1.3637652,-0.15802659,6.3024983,-1.1441338,5.4571924,4.393376,4.314176,0.94666505,8.254607,233.0
7.64387,12.9273205,1.84502,5.574772,3.2734165,3.3227081,1.5228127,-0.044499747,6.2135515,-1.197258,5.590006,4.298923,4.3455887,0.9287225,8.241102,233.5
7.5828958,13.164007,1.8811353,5.693582,2.931529,3.3144453,1.5168312,-0.132093,6.1971126,-1.1731061,5.4631715,4.2018385,4.3876185,0.6422645,8.026369,234.0
7.6539073,13.015211,1.8384452,5.495112,2.980697,3.2856526,1.3708986,-0.092763655,6.1581383,-0.99438643,5.571422,4.2978964,4.4824343,0.9902525,8.252638,234.5
7.825945,12.856932,2.036468,5.541455,3.1421533,3.3295,1.4445593,-0.044030566,6.327564,-1.2388197,5.4385433,4.3206544,4.2792087,0.95009047,8.270704,235.0
7.687123,12.921162,1.8149296,5.5196543,3.0550423,3.293362,1.4600643,-0.2272022,6.183426,-1.065852,5.4909678,4.167646,4.5367804,0.89241666,8.3222275,235.5
7.7659006,12.869343,1.9539746,5.5340323,3.104334,3.2405798,1.5121188,-0.0937409,6.230198,-1.1080507,5.517415,4.237387,4.4046745,0.9656651,8.297052,236.0
7.9131465,12.697556,1.8538032,5.506634,3.108189,3.4617243,1.3729124,-0.35717824,6.450785,-1.3219242,5.2755876,4.3271523,4.143897,0.878657,8.343779,236.5
7.7359834,12.922101,1.6607629,5.648228,2.955678,3.3871856,1.5979568,-0.49926326,6.3521404,-1.298064,5.370714,4.2097487,4.2317586,0.67586637,8.174196,237.0
7.5642476,13.181166,1.7847533,5.690449,2.9733357,3.3120155,1.4743826,-0.06723026,6.093834,-1.0938486,5.5305905,4.127182,4.503411,0.8400336,8.17838,237.5
7.553048,13.072621,1.9522749,5.667141,3.0991783,3.3880556,1.5829482,-0.038166363,6.3320312,-1.3427296,5.471594,4.2655387,4.209594,0.6801881,8.039175,238.0
7.7827344,12.889971,1.4062265,5.6357026,3.1245675,3.7033246,1.3469268,-0.34866825,6.640469,-1.5092406,5.349368,4.297302,3.9126296,0.8842492,8.297678,238.5
7.8583326,12.917923,1.5466661,5.6409607,3.13933,3.584046,1.4086353,-0.13537623,6.534981,-1.3950915,5.399548,4.272112,4.108341,0.9958847,8.360603,239.0
7.900005,12.912461,1.7174867,5.6472306,3.109992,3.4033084,1.5236104,-0.108747564,6.412287,-1.3131464,5.4845543,4.190831,4.2539334,1.1016345,8.44429,239.5
7.902196,12.787538,1.5527446,5.4600143,2.976695,3.5624995,1.4207001,-0.35144186,6.6646256,-1.3486347,5.2668505,4.411995,3.8788764,0.8308325,8.234626,240.0
7.6364074,12.7775135,1.8625964,5.434863,3.1970377,3.3543184,1.4432392,-0.3110383,6.2907867,-1.2050183,5.4931865,4.4117565,4.2203374,0.80939674,8.193856,240.5
7.8402634,12.998306,1.4973643,5.4768286,2.788089,3.5087233,1.3644508,-0.20425226,6.5263343,-1.149722,5.4064965,4.194391,4.32207,1.051163,8.426849,241.0
7.7103558,12.83691,1.8540372,5.3898773,3.0953364,3.2773688,1.4442087,-0.091065496,6.291037,-1.0431863,5.5819173,4.3293095,4.377811,1.050041,8.332909,241.5
7.5903473,12.8254,2.0093133,5.481078,3.2780614,3.332249,1.516199,-0.11224631,6.2842283,-1.2596668,5.538329,4.30929,4.30335,0.85521436,8.241592,242.0
7.668473,12.869614,1.584644,5.5686316,3.0380223,3.550738,1.3545998,-0.48780364,6.4801702,-1.3723582,5.368433,4.2765284,4.0207825,0.7764803,8.240362,242.5
7.7555385,12.977585,1.8838722,5.5145926,2.9537294,3.2456005,1.4170034,-0.054447394,6.2016563,-0.9854712,5.5268316,4.2180552,4.506242,1.0049338,8.289775,243.0
7.684218,12.770841,1.8103575,5.3863363,3.031466,3.2704325,1.5066912,-0.40699592,6.2916813,-1.0858452,5.459304,4.2282734,4.3679795,0.8305714,8.303542,243.5
7.6032825,12.986293,1.6799713,5.655511,3.301176,3.4229512,1.5000999,-0.123133436,6.1607885,-1.247118,5.5542455,4.146822,4.4994373,0.90084666,8.324598,244.0
7.7655396,12.812223,1.1951792,5.495008,3.0752459,3.7812285,1.350501,-0.5196272,6.790349,-1.5419079,5.275601,4.4155507,3.6574788,0.77788734,8.218874,244.5
7.839233,12.871151,1.7483438,5.4373364,2.8147264,3.3229904,1.528011,-0.30363414,6.486274,-1.14733,5.3983235,4.1850815,4.2388587,0.9470152,8.367325,245.0
7.621408,13.472857,1.7187748,6.1201906,2.9986331,3.5254974,1.8728927,0.12034664,6.3886795,-1.7103643,5.5081906,3.8355129,4.4012713,0.8901493,8.38051,245.5
7.845937,13.024149,1.7494186,5.6297426,2.9136157,3.378774,1.6040045,-0.084190086,6.467899,-1.3048341,5.4782667,4.072292,4.3249784,1.1007036,8.494173,246.0
7.638289,12.770881,1.952603,5.4367766,3.3072062,3.2831316,1.5101668,-0.094584495,6.2402716,-1.1560036,5.5847187,4.381618,4.3110557,0.92832416,8.24813,246.5
7.8806696,12.893505,1.632433,5.648261,3.1309457,3.5030627,1.5308039,-0.1219188,6.5625405,-1.4369432,5.4660816,4.1707225,4.1364126,1.1131668,8.484713,247.0
7.6985936,12.767139,1.5866644,5.38041,3.1580865,3.5030525,1.4265323,-0.27499062,6.5611954,-1.2884516,5.458791,4.442662,3.9674664,0.9006769,8.24891,247.5
7.747638,12.726418,1.5815194,5.39933,3.2474446,3.521401,1.4448204,-0.24405482,6.5659256,-1.3089051,5.419555,4.3789682,3.9917817,0.9347886,8.326601,248.0
7.8584833,12.807036,1.6108736,5.586677,3.2054605,3.4381857,1.4884775,-0.28624803,6.415541,-1.3132458,5.4564214,4.253222,4.1768494,1.008529,8.412107,248.5
7.671927,13.259347,1.2865591,5.7386675,2.8462055,3.7187703,1.3468642,-0.15616441,6.5670857,-1.4039888,5.371832,4.1385984,4.1081204,0.8691964,8.241148,249.0
7.712619,12.71713,1.404897,5.488994,3.3649108,3.6623857,1.4876435,-0.37014598,6.6554294,-1.5316709,5.447102,4.3928866,3.855621,0.91922665,8.38466,249.5
7.666728,12.82674,1.460435,5.4999495,3.0858362,3.5973573,1.4339806,-0.53217924,6.593201,-1.422125,5.395809,4.225945,4.029645,0.8261156,8.348359,250.0
7.643963,12.795271,1.8614273,5.4929156,3.1692586,3.2389054,1.5644195,-0.36756173,6.191034,-1.1603292,5.5537,4.2061887,4.405321,0.85631204,8.305355,250.5
7.747105,13.062636,1.9327854,5.591418,3.0287066,3.3132885,1.3945407,-0.067391,6.2844334,-1.21409,5.501405,4.439246,4.1188836,0.89443105,8.103834,251.0
7.6083956,12.988505,1.712424,5.5243053,3.0893967,3.4515045,1.449167,-0.15865527,6.4457893,-1.3096046,5.513757,4.48997,3.959414,0.7893778,8.040753,251.5
7.849133,12.853017,1.798286,5.4267516,2.9665093,3.3021832,1.4481717,-0.11468883,6.350521,-1.0458672,5.4857707,4.2505054,4.382334,1.0821377,8.4080515,252.0
7.883834,13.04841,1.4435487,5.622837,2.960676,3.6052196,1.4589955,-0.067665406,6.644757,-1.4019067,5.423224,4.1903224,4.113398,1.1161554,8.458691,252.5
7.8975544,12.716414,1.537239,5.4430885,3.0346253,3.517952,1.4031851,-0.4737205,6.6015716,-1.3231689,5.335543,4.331061,3.999426,0.9343187,8.386318,253.0
7.736133,12.789939,1.7847086,5.3839955,2.963945,3.2825303,1.5643107,-0.34952044,6.3903875,-1.1222506,5.459173,4.201035,4.3067226,0.9046101,8.375844,253.5
7.573819,13.657409,1.4747281,6.295552,2.938381,3.736014,1.7999455,0.18222328,6.459766,-1.8647691,5.397112,3.8539531,4.3046675,0.7585572,8.277694,254.0
7.484382,13.604494,1.645892,6.304224,3.1005216,3.6250048,1.9688092,0.18070866,6.352406,-1.8792758,5.4791846,3.7590075,4.3841343,0.76069915,8.317135,254.5
7.692321,12.781456,1.3828876,5.5034604,3.2752087,3.6926715,1.4918829,-0.3615909,6.6856737,-1.5364256,5.394188,4.453805,3.7944689,0.8069722,8.256073,255.0
7.54244,13.492002,1.5575612,5.9323792,2.647045,3.65498,1.4313408,-0.080331214,6.439002,-1.4242008,5.250403,4.1200743,4.109852,0.4658688,7.8676805,255.5
7.651075,13.295419,1.5871694,5.810417,2.6600976,3.604159,1.3505547,-0.19245689,6.4605536,-1.321238,5.223149,4.1706624,4.0949826,0.5683508,7.9343543,256.0
7.7406363,12.988857,1.1539975,5.561007,2.6518078,3.8065534,1.1565349,-0.7209341,6.7121625,-1.4174689,4.91328,4.6169662,3.393078,0.19472583,7.5476656,256.5
7.4184833,13.807221,1.5370586,6.490793,3.0284605,3.7749074,1.9992512,0.23586528,6.4395823,-2.0692456,5.380212,3.70655,4.2717676,0.5874904,8.176476,257.0
7.383001,13.791177,1.6282659,6.3464217,2.8863533,3.728212,1.8430935,0.20571852,6.399471,-1.865335,5.3575807,3.7057807,4.3481207,0.5666199,8.113225,257.5
7.475142,13.851576,1.393141,6.496828,3.0385156,3.8659332,1.9881189,0.24931118,6.551691,-2.1625853,5.4160957,3.675372,4.220418,0.7326789,8.311432,258.0
7.308126,13.845016,1.4269099,6.593794,3.067516,3.8492534,1.9997487,0.3033237,6.4073143,-2.1129532,5.3397403,3.6475716,4.279163,0.51586235,8.122371,258.5
7.4212637,13.816706,1.5652425,6.462958,2.9518745,3.7351577,1.975728,0.3160432,6.3429637,-1.9692893,5.408338,3.6522458,4.453887,0.69200975,8.266061,259.0
7.3845844,13.845281,1.363761,6.4823303,3.0625577,3.9007998,1.9307029,0.28881297,6.4793167,-2.0860987,5.393276,3.7065663,4.240107,0.6642373,8.229514,259.5
7.507925,13.781279,1.6310861,6.559701,3.0102854,3.639804,2.0492182,0.20215216,6.324591,-2.0241826,5.41312,3.7366683,4.3465753,0.6094563,8.194101,260.0
7.4628196,13.784343,1.5581197,6.4600697,2.977547,3.7071815,1.9464346,0.24781828,6.3406286,-1.9410325,5.403529,3.717156,4.374217,0.66446364,8.231775,260.5
7.4559793,13.807656,1.3293262,6.4271674,3.0164924,3.898129,1.8659431,0.23787032,6.532357,-2.0613203,5.3728447,3.7651262,4.181287,0.6991316,8.240015,261.0
7.419017,13.84537,1.3984193,6.4567866,3.0307987,3.8604524,1.9646437,0.2961052,6.51027,-2.1332655,5.3827443,3.7055616,4.2348223,0.719896,8.305932,261.5
7.358484,13.911681,1.4504116,6.547971,2.9472673,3.8628743,1.9071281,0.33993304,6.4475884,-2.0997856,5.304117,3.6972888,4.287468,0.5485029,8.143957,262.0
7.3705406,13.88667,1.3558979,6.4291472,3.001739,3.9234831,1.875381,0.34698915,6.4756627,-2.043966,5.374967,3.6940353,4.2891173,0.6840551,8.2449045,262.5
7.3547764,13.8586445,1.4357897,6.548221,3.0449214,3.8541539,1.979368,0.28792766,6.4354334,-2.1091666,5.357263,3.689293,4.2592506,0.56968915,8.16696,263.0
7.3125014,13.923318,1.3913112,6.4676147,2.8937376,3.9071667,1.8070638,0.37129366,6.411672,-1.977707,5.336688,3.675624,4.3439193,0.6411356,8.198555,263.5
7.3437486,13.828004,1.5921371,6.42921,2.9658756,3.7760117,1.9213604,0.2173336,6.4044285,-1.9662621,5.363727,3.677049,4.3187804,0.5205676,8.087944,264.0
7.4594173,13.710801,1.5981363,6.322402,2.8925538,3.6880279,1.7995446,0.15304773,6.361785,-1.7902342,5.351881,3.8079116,4.313183,0.5615905,8.068469,264.5
7.599277,13.65267,1.6719929,6.3624616,2.967954,3.555676,1.9573733,0.20773223,6.308264,-1.8270873,5.422802,3.7912512,4.3807335,0.75603515,8.283022,265.0
7.5448914,13.687823,1.6025249,6.381622,3.0658188,3.6484358,2.0285919,0.2511611,6.393093,-1.9736378,5.4944887,3.7202451,4.386909,0.84143347,8.401746,265.5
7.5169415,13.817784,1.6228395,6.4933085,2.958025,3.6605983,2.0127635,0.2835761,6.3545675,-1.9792184,5.4517493,3.6788087,4.4338155,0.7467291,8.322827,266.0
7.405106,13.689628,1.5935092,6.4031143,3.1362846,3.7063172,2.0352871,0.2053291,6.365909,-1.999412,5.456585,3.7072482,4.3474245,0.6809491,8.266059,266.5
7.459852,13.7701845,1.6455432,6.479368,3.0975466,3.6748822,2.0832987,0.2024373,6.3978195,-2.0678773,5.4728165,3.674592,4.3336277,0.6748532,8.267731,267.0
7.4632077,13.845143,1.7147231,6.5351896,3.0516882,3.6636662,2.1227963,0.20212957,6.414667,-2.1176977,5.473177,3.620027,4.3513627,0.6381031,8.240996,267.5
7.3690753,13.91457,1.5121045,6.627868,3.0277495,3.8087838,2.048919,0.3180708,6.4076195,-2.1564984,5.369296,3.6492467,4.307262,0.5529294,8.174032,268.0
7.3772917,13.920577,1.5234073,6.537662,3.0584748,3.853267,2.040355,0.20390773,6.5142126,-2.177691,5.4085493,3.618075,4.2005415,0.5705339,8.166298,268.5
7.3757124,13.897705,1.632475,6.576785,3.0913565,3.734654,2.1207905,0.2127837,6.398406,-2.1436865,5.425315,3.6241233,4.283834,0.5394867,8.157922,269.0
7.405216,13.818225,1.5918496,6.4843683,3.1106856,3.7375696,2.068488,0.14962594,6.3621674,-2.0648212,5.4795494,3.6285496,4.3065658,0.61690307,8.195682,269.5
7.4088173,13.961321,1.5736588,6.6015167,3.022856,3.7993772,2.0909305,0.31512162,6.442829,-2.1766648,5.447813,3.5696557,4.351651,0.6658789,8.276326,270.0
7.363397,13.867452,1.5989828,6.5157394,3.1031306,3.7930634,2.0662415,0.17732187,6.4627547,-2.1362295,5.4386387,3.6050122,4.2467594,0.5674326,8.147234,270.5
7.5295706,13.881873,1.3817903,6.408097,2.9590952,3.8766186,1.8877647,0.29224765,6.565987,-2.0556192,5.4450874,3.6902804,4.2567177,0.8505251,8.387114,271.0
7.5755343,13.93422,1.5353156,6.523885,2.903827,3.7531676,2.0107358,0.30524784,6.4762273,-2.104502,5.4204783,3.6810262,4.3100147,0.7582777,8.335822,271.5
7.4336433,13.955258,1.3800532,6.5442567,2.9940374,3.910841,1.9755344,0.38309062,6.512122,-2.1686811,5.420054,3.634535,4.303979,0.7747493,8.364934,272.0
7.7216187,13.503184,1.1912694,5.876817,2.7823322,3.867378,1.4406657,0.072506286,6.772416,-1.6360321,5.341198,3.9941962,4.1232886,0.989747,8.378354,272.5
7.7891693,13.418668,1.0827953,5.8651795,2.865314,3.9150293,1.4119347,0.057405353,6.77394,-1.6535727,5.363323,4.063713,4.058656,1.0480614,8.418393,273.0
7.72029,13.495969,1.2546222,5.884751,2.770437,3.816717,1.3953307,0.0811185,6.663455,-1.5410427,5.353955,4.0287533,4.175053,0.9398173,8.294152,273.5
7.876488,12.95116,1.3389333,5.5730896,2.9035892,3.658959,1.4716653,-0.32762206,6.731676,-1.4419247,5.27097,4.308863,3.8843918,0.8433612,8.270393,274.0
7.73421,13.513593,1.2958562,5.930114,2.7330947,3.7975,1.4370124,0.08662493,6.6429334,-1.54474,5.338648,3.9987516,4.186215,0.91942126,8.278562,274.5
7.490219,13.905811,1.5229042,6.3419204,2.9187653,3.8193443,1.8659046,0.1378189,6.5789495,-1.9740446,5.398432,3.719621,4.128274,0.6349597,8.1420765,275.0
7.5213275,13.645512,1.5527347,6.154658,2.758994,3.6873567,1.6096784,0.1229762,6.3912086,-1.5919778,5.3445144,3.8340766,4.3688955,0.68607724,8.129295,275.5
